code_insee,code_postal,eurocircos_name,comsimp_name,pref_related,latitude,longitude
38017,38150,Assieu,Assieu,Vienne,45.416667,4.866667
38018,38680,Auberives-en-Royans,Auberives-en-Royans,Grenoble,45.066667,5.3
38019,38550,Auberives-sur-Varèze,Auberives-sur-Varèze,Vienne,45.433333,4.833333
38020,38142,Auris,Auris,Grenoble,45.05,6.083333
38022,38630,Les Avenières,Les Avenières Veyrins-Thuellin,La Tour-du-Pin,45.633333,5.566667
38023,38650,Avignonet,Avignonet,Grenoble,44.95,5.683333
38025,38260,Balbins,Balbins,Vienne,45.383333,5.216667
38026,38390,La Balme-les-Grottes,La Balme-les-Grottes,La Tour-du-Pin,45.85,5.333333
38027,38530,Barraux,Barraux,Grenoble,45.433333,5.983333
38029,38110,La Bâtie-Montgascon,La Bâtie-Montgascon,La Tour-du-Pin,45.583333,5.533333
38030,38140,Beaucroissant,Beaucroissant,Grenoble,45.333333,5.466667
38031,38970,Beaufin,Beaufin,Grenoble,44.783333,5.95
38032,38270,Beaufort,Beaufort,Vienne,,
38033,38470,Beaulieu,Beaulieu,Grenoble,45.2,5.383333
38034,38270,Beaurepaire,Beaurepaire,Vienne,45.333333,5.05
38035,38440,Beauvoir-de-Marc,Beauvoir-de-Marc,Vienne,45.516667,5.083333
38036,38160,Beauvoir-en-Royans,Beauvoir-en-Royans,Grenoble,,
38037,38270,Bellegarde-Poussieu,Bellegarde-Poussieu,Vienne,45.383333,4.95
38038,38690,Belmont,Belmont,La Tour-du-Pin,,
38039,38190,Bernin,Bernin,Grenoble,45.266667,5.866667
38040,38142,Besse,Besse,Grenoble,45.066667,6.166667
38041,38160,Bessins,Bessins,Grenoble,45.2,5.266667
38042,38690,Bévenais,Bévenais,La Tour-du-Pin,45.4,5.383333
38043,38850,Bilieu,Bilieu,La Tour-du-Pin,45.45,5.55
38044,38690,Biol,Biol,La Tour-du-Pin,,
38045,38330,Biviers,Biviers,Grenoble,45.233333,5.8
38046,38690,Bizonnes,Bizonnes,La Tour-du-Pin,45.45,5.366667
38047,38730,Blandin,Blandin,La Tour-du-Pin,45.466667,5.45
38048,38090,Bonnefamille,Bonnefamille,La Tour-du-Pin,45.6,5.116667
38049,38260,Bossieu,Bossieu,Vienne,45.416667,5.15
38050,38510,Le Bouchage,Le Bouchage,La Tour-du-Pin,45.666667,5.533333
38051,38150,Bougé-Chambalud,Bougé-Chambalud,Vienne,45.333333,4.9
38052,38520,Le Bourg-d'Oisans,Le Bourg-d'Oisans,Grenoble,45.05,6.033333
38053,38300,Bourgoin-Jallieu,Bourgoin-Jallieu,La Tour-du-Pin,"45,59","5,28"
38054,38390,Bouvesse-Quirieu,Bouvesse-Quirieu,La Tour-du-Pin,45.8,5.4
38055,38510,Brangues,Brangues,La Tour-du-Pin,45.7,5.533333
38056,38870,Bressieux,Bressieux,Vienne,45.316667,5.283333
38057,38320,Bresson,Bresson,Grenoble,45.133333,5.75
38058,38590,Brézins,Brézins,Vienne,45.35,5.316667
38059,38320,Brié-et-Angonnes,Brié-et-Angonnes,Grenoble,45.116667,5.8
38060,38590,Brion,Brion,Vienne,45.3,5.333333
38061,38500,La Buisse,La Buisse,Grenoble,45.333333,5.616667
38062,38530,La Buissière,La Buissière,Grenoble,45.4,5.983333
38063,38690,Burcin,Burcin,La Tour-du-Pin,45.433333,5.433333
38064,38110,Cessieu,Cessieu,La Tour-du-Pin,45.566667,5.366667
